tf,rr,touch_pct,max_bars,n,wr,total_r,pct_ret,max_dd,calmar,pf
30m   (~60d),3.5,0.1,6,12,75.0,5.2,5.2,1.0,5.23,2.73
Daily (2yr),1.5,0.3,5,68,58.8,32.59,37.7,7.2,5.21,2.23
Daily (2yr),3.5,0.1,3,46,47.8,23.78,25.9,5.1,5.1,2.05
30m   (~60d),2.0,0.1,6,12,75.0,4.96,5.0,1.0,5.01,2.65
30m   (~60d),1.5,0.1,10,12,75.0,4.94,5.0,1.0,5.0,2.65
Daily (2yr),3.0,0.2,3,58,48.3,30.63,34.6,7.0,4.95,2.07
Daily (2yr),1.5,0.1,2,48,58.3,20.94,22.8,4.6,4.93,2.17
Daily (2yr),3.0,0.2,5,53,45.3,35.27,40.9,8.5,4.82,2.28
30m   (~60d),1.5,0.1,6,12,75.0,4.67,4.7,1.0,4.72,2.56
Daily (2yr),2.0,0.2,5,55,52.7,30.73,35.1,7.5,4.66,2.25
Daily (2yr),2.5,0.2,5,54,46.3,29.15,32.8,7.1,4.62,2.06
Daily (2yr),3.0,0.1,5,42,45.2,26.43,29.3,6.6,4.46,2.23
Daily (2yr),3.0,0.1,3,46,47.8,21.23,22.8,5.1,4.44,1.94
Daily (2yr),1.5,0.2,2,62,58.1,26.94,30.3,7.0,4.32,2.13
Daily (2yr),1.5,0.1,5,47,55.3,19.45,21.0,5.0,4.23,2.0
Daily (2yr),1.0,0.5,2,97,63.9,26.19,29.3,7.1,4.15,1.77
Daily (2yr),1.5,0.1,3,48,58.3,19.57,21.2,5.1,4.14,2.0
Daily (2yr),1.0,0.5,3,95,64.2,26.1,29.2,7.3,4.03,1.78
Daily (2yr),4.0,0.1,3,45,44.4,19.28,20.3,5.1,4.0,1.82
Daily (2yr),1.5,0.2,3,62,58.1,25.57,28.5,7.5,3.81,2.0
30m   (~60d),1.0,0.1,16,12,75.0,3.58,3.6,1.0,3.57,2.19
1h    (2yr),4.0,0.5,5,185,44.3,22.36,23.3,6.7,3.46,1.3
Daily (2yr),1.0,0.3,2,80,62.5,19.19,20.7,6.1,3.39,1.66
Daily (2yr),1.0,0.3,3,78,62.8,19.1,20.6,6.3,3.27,1.67
Daily (2yr),1.5,0.2,5,60,55.0,23.95,26.4,8.3,3.2,1.94
1h    (2yr),3.5,0.5,5,185,44.3,20.74,21.4,6.7,3.18,1.28
1h    (2yr),4.0,0.5,8,185,44.3,22.56,23.5,7.5,3.13,1.29
Daily (2yr),1.0,0.5,5,93,62.4,23.97,26.5,8.7,3.04,1.7
1h    (2yr),3.0,0.5,5,185,44.3,19.74,20.3,6.7,3.01,1.26
30m   (~60d),1.0,0.1,10,12,75.0,2.94,2.9,1.0,2.91,1.98
1h    (2yr),2.5,0.5,5,185,44.9,18.71,19.2,6.7,2.84,1.25
1h    (2yr),3.5,0.5,8,185,44.3,20.44,21.0,7.5,2.8,1.27
1h    (2yr),3.5,0.5,3,185,51.9,17.72,18.0,6.6,2.73,1.25
30m   (~60d),1.0,0.1,6,12,75.0,2.67,2.7,1.0,2.64,1.89
1h    (2yr),3.0,0.5,8,185,44.3,18.99,19.4,7.5,2.58,1.25
30m   (~60d),4.0,0.2,16,13,53.8,5.04,5.0,2.0,2.51,1.84
1h    (2yr),4.0,0.5,3,185,51.9,18.53,18.9,7.6,2.47,1.26
1h    (2yr),2.5,0.5,8,185,44.9,17.22,17.4,7.3,2.39,1.23
Daily (2yr),1.0,0.3,5,76,60.5,16.97,18.1,7.8,2.32,1.58
30m   (~60d),4.0,0.2,10,13,53.8,4.66,4.6,2.0,2.31,1.78
1h    (2yr),3.0,0.5,3,185,51.9,15.52,15.5,6.8,2.27,1.22
30m   (~60d),3.5,0.2,16,13,53.8,4.54,4.5,2.0,2.25,1.76
30m   (~60d),3.0,0.2,16,13,53.8,4.5,4.5,2.0,2.24,1.75
1h    (2yr),2.0,0.5,5,185,44.9,14.44,14.3,6.7,2.12,1.19
30m   (~60d),3.5,0.2,10,13,53.8,4.16,4.1,2.0,2.06,1.69
30m   (~60d),3.0,0.2,10,13,53.8,4.13,4.1,2.0,2.04,1.69
Daily (2yr),1.0,0.1,2,50,60.0,10.77,11.1,5.5,2.01,1.57
Daily (2yr),1.0,0.1,5,50,60.0,10.97,11.3,5.9,1.93,1.58
1h    (2yr),3.0,0.2,3,120,51.7,17.02,17.6,9.3,1.9,1.38
Daily (2yr),1.0,0.2,2,66,60.6,14.77,15.5,8.3,1.86,1.59
Daily (2yr),1.0,0.1,3,50,60.0,10.5,10.8,5.9,1.84,1.54
1h    (2yr),3.5,0.2,3,120,51.7,16.51,16.9,9.3,1.83,1.37
1h    (2yr),3.0,0.2,5,120,44.2,15.46,15.7,8.8,1.78,1.32
Daily (2yr),1.0,0.2,3,66,60.6,14.5,15.2,8.7,1.75,1.57
30m   (~60d),2.5,0.2,16,13,53.8,3.5,3.4,2.0,1.73,1.58
1h    (2yr),3.0,0.2,8,120,45.0,15.2,15.4,9.0,1.7,1.31
Daily (2yr),1.0,0.2,5,65,60.0,13.97,14.6,8.7,1.68,1.56
1h    (2yr),2.5,0.2,5,120,45.0,13.85,13.9,8.8,1.59,1.29
1h    (2yr),4.0,0.2,3,120,51.7,14.21,14.3,9.3,1.55,1.32
30m   (~60d),2.5,0.2,10,13,53.8,3.13,3.1,2.0,1.53,1.52
1h    (2yr),2.5,0.2,8,120,45.8,13.59,13.7,9.0,1.51,1.28
1h    (2yr),3.5,0.1,3,94,45.7,13.23,13.2,8.7,1.51,1.32
1h    (2yr),3.5,0.2,5,120,44.2,13.23,13.1,8.8,1.49,1.28
1h    (2yr),4.0,0.2,5,120,44.2,12.76,12.6,8.8,1.43,1.27
1h    (2yr),3.0,0.1,3,94,45.7,12.38,12.3,8.7,1.41,1.3
1h    (2yr),2.0,0.5,8,185,44.9,12.39,12.0,8.5,1.41,1.16
1h    (2yr),3.5,0.2,8,120,45.0,12.92,12.8,9.0,1.41,1.27
15m   (~60d),4.0,0.3,32,15,33.3,4.31,4.1,3.0,1.38,1.43
30m   (~60d),4.0,0.3,16,14,50.0,4.18,4.1,3.0,1.37,1.6
30m   (~60d),2.5,0.5,16,15,46.7,4.14,4.0,3.0,1.36,1.52
1h    (2yr),3.0,0.1,8,94,41.5,12.02,11.8,8.7,1.36,1.28
1h    (2yr),4.0,0.2,8,120,45.0,12.46,12.2,9.0,1.35,1.26
1h    (2yr),3.0,0.1,5,94,41.5,11.7,11.5,8.7,1.32,1.27
1h    (2yr),2.5,0.5,3,185,51.9,10.02,9.5,7.3,1.3,1.14
1h    (2yr),2.5,0.2,3,120,51.7,12.02,12.0,9.3,1.29,1.27
1h    (2yr),3.5,0.1,8,94,41.5,11.53,11.2,8.7,1.29,1.27
1h    (2yr),4.0,0.1,8,94,41.5,11.56,11.2,8.7,1.29,1.27
1h    (2yr),4.0,0.1,3,94,45.7,11.43,11.2,8.7,1.28,1.28
30m   (~60d),2.0,0.2,16,13,53.8,2.56,2.5,2.0,1.25,1.43
1h    (2yr),4.0,0.1,5,94,41.5,11.29,10.9,8.7,1.25,1.26
1h    (2yr),3.5,0.1,5,94,41.5,11.26,10.9,8.7,1.25,1.26
1h    (2yr),2.0,0.2,3,120,52.5,11.27,11.2,9.3,1.21,1.26
30m   (~60d),3.5,0.3,16,14,50.0,3.68,3.6,3.0,1.2,1.53
1h    (2yr),2.0,0.2,5,120,45.8,11.23,11.1,9.5,1.17,1.24
1h    (2yr),2.0,0.2,8,120,46.7,10.97,10.8,9.3,1.16,1.23
1h    (2yr),2.0,0.5,3,185,51.9,9.11,8.6,7.6,1.13,1.13
30m   (~60d),2.5,0.5,10,15,46.7,3.46,3.3,3.0,1.13,1.43
15m   (~60d),4.0,0.3,20,15,33.3,3.52,3.3,3.0,1.11,1.35
30m   (~60d),2.0,0.2,10,13,53.8,2.18,2.1,2.0,1.06,1.36
30m   (~60d),3.0,0.3,16,14,50.0,3.07,3.0,3.0,1.0,1.44
30m   (~60d),4.0,0.3,10,14,50.0,3.1,3.0,3.0,1.0,1.44
30m   (~60d),3.0,0.2,6,13,53.8,2.06,2.0,2.0,0.98,1.34
30m   (~60d),2.5,0.3,16,14,50.0,2.81,2.7,3.0,0.91,1.4
15m   (~60d),3.5,0.3,32,15,33.3,2.81,2.6,3.0,0.88,1.28
30m   (~60d),1.5,0.2,16,13,53.8,1.81,1.7,2.0,0.88,1.3
15m   (~60d),4.0,0.3,12,15,33.3,2.78,2.6,3.0,0.86,1.28
30m   (~60d),3.5,0.3,10,14,50.0,2.6,2.5,3.0,0.84,1.37
15m   (~60d),3.5,0.1,20,12,33.3,3.46,3.3,3.9,0.84,1.43
1h    (2yr),1.0,0.2,5,120,51.7,6.04,5.8,7.0,0.83,1.15
1h    (2yr),2.5,0.1,3,94,45.7,7.57,7.1,8.7,0.82,1.18
1h    (2yr),1.5,0.5,5,185,45.9,7.65,7.0,8.7,0.81,1.1
1h    (2yr),1.0,0.2,8,120,52.5,5.93,5.7,7.2,0.79,1.14
15m   (~60d),3.5,0.3,20,15,33.3,2.52,2.3,3.0,0.78,1.25
15m   (~60d),3.5,0.1,32,12,33.3,3.2,3.0,3.9,0.77,1.4
1h    (2yr),2.5,0.1,8,94,41.5,7.04,6.5,8.7,0.75,1.16
15m   (~60d),3.5,0.1,12,12,33.3,3.13,2.9,3.9,0.75,1.39
1h    (2yr),2.5,0.1,5,94,41.5,6.72,6.2,8.7,0.71,1.15
30m   (~60d),2.0,0.5,16,15,46.7,2.14,2.0,3.0,0.68,1.27
30m   (~60d),2.5,0.3,10,14,50.0,2.13,2.0,3.0,0.68,1.3
1h    (2yr),1.5,0.5,8,185,46.5,6.92,6.3,9.3,0.67,1.09
30m   (~60d),3.0,0.3,10,14,50.0,2.1,2.0,3.0,0.67,1.3
1h    (2yr),1.0,0.2,3,120,56.7,4.94,4.7,7.4,0.63,1.13
30m   (~60d),1.5,0.2,10,13,53.8,1.32,1.2,2.0,0.63,1.22
1h    (2yr),2.0,0.3,8,145,44.8,6.58,5.9,10.0,0.59,1.11
1h    (2yr),2.0,0.3,5,145,44.1,6.41,5.8,10.0,0.58,1.11
1h    (2yr),1.5,0.2,5,120,46.7,5.14,4.7,8.8,0.54,1.11
1h    (2yr),1.5,0.2,3,120,53.3,5.34,5.0,9.3,0.54,1.12
15m   (~60d),4.0,0.1,20,12,33.3,2.25,2.1,3.9,0.53,1.28
15m   (~60d),3.5,0.3,12,15,33.3,1.78,1.6,3.0,0.53,1.18
30m   (~60d),4.0,0.5,16,15,40.0,2.01,1.8,3.5,0.52,1.22
1h    (2yr),1.5,0.2,8,120,47.5,5.07,4.6,9.0,0.51,1.11
30m   (~60d),2.5,0.2,6,13,53.8,1.06,1.0,2.0,0.48,1.18
1h    (2yr),1.5,0.5,3,185,52.4,4.59,3.9,8.2,0.48,1.07
1h    (2yr),2.0,0.1,3,94,46.8,4.47,4.0,8.7,0.46,1.11
15m   (~60d),3.5,0.2,20,13,30.8,2.46,2.3,4.9,0.46,1.27
15m   (~60d),3.0,0.1,20,12,33.3,1.96,1.8,4.0,0.45,1.25
30m   (~60d),2.0,0.5,10,15,46.7,1.46,1.3,3.0,0.45,1.18
30m   (~60d),4.0,0.5,6,15,46.7,1.45,1.3,3.0,0.44,1.18
30m   (~60d),2.5,0.5,6,15,46.7,1.38,1.2,3.0,0.42,1.17
30m   (~60d),2.0,0.3,16,14,50.0,1.31,1.2,3.0,0.41,1.19
