tf,rr,touch_pct,max_bars,n,wr,total_r,pct_ret,max_dd,calmar,pf
30m   (~60d),1.0,0.2,6,13,53.8,-1.23,-1.3,2.0,-0.63,0.79
15m   (~60d),2.5,0.5,32,17,29.4,-3.77,-3.8,6.0,-0.64,0.66
15m   (~60d),2.5,0.5,20,17,29.4,-3.75,-3.8,6.0,-0.64,0.66
15m   (~60d),1.5,0.2,20,13,30.8,-3.54,-3.6,5.4,-0.66,0.61
15m   (~60d),3.0,0.5,12,17,23.5,-4.1,-4.2,6.0,-0.69,0.64
30m   (~60d),1.5,0.3,6,14,50.0,-2.06,-2.1,3.0,-0.71,0.71
15m   (~60d),1.5,0.2,32,13,30.8,-3.8,-3.8,5.4,-0.71,0.58
15m   (~60d),1.5,0.2,12,13,30.8,-3.87,-3.9,5.4,-0.72,0.57
30m   (~60d),1.0,0.3,10,14,50.0,-2.37,-2.4,3.3,-0.74,0.66
15m   (~60d),1.0,0.3,20,15,40.0,-3.0,-3.0,4.0,-0.76,0.67
15m   (~60d),1.0,0.3,32,15,40.0,-3.0,-3.0,4.0,-0.76,0.67
15m   (~60d),1.0,0.3,12,15,40.0,-3.0,-3.0,4.0,-0.76,0.67
15m   (~60d),2.5,0.5,12,17,23.5,-4.74,-4.7,6.1,-0.78,0.58
15m   (~60d),2.0,0.5,20,17,29.4,-4.75,-4.7,6.0,-0.79,0.57
15m   (~60d),1.5,0.5,32,17,29.4,-5.36,-5.3,6.7,-0.79,0.52
30m   (~60d),1.0,0.5,10,15,46.7,-2.54,-2.6,3.3,-0.79,0.68
15m   (~60d),1.5,0.5,20,17,29.4,-5.36,-5.3,6.7,-0.79,0.52
15m   (~60d),2.0,0.5,32,17,29.4,-4.77,-4.8,6.0,-0.79,0.57
15m   (~60d),1.5,0.5,12,17,23.5,-6.23,-6.1,7.5,-0.82,0.45
30m   (~60d),1.0,0.3,6,14,50.0,-2.75,-2.8,3.3,-0.83,0.61
30m   (~60d),1.0,0.5,6,15,46.7,-2.82,-2.8,3.3,-0.85,0.65
15m   (~60d),2.0,0.5,12,17,23.5,-5.74,-5.7,6.6,-0.86,0.49
15m   (~60d),1.0,0.5,20,17,29.4,-6.4,-6.3,7.2,-0.87,0.43
15m   (~60d),1.0,0.5,32,17,29.4,-6.4,-6.3,7.2,-0.87,0.43
15m   (~60d),1.0,0.5,12,17,23.5,-7.26,-7.1,8.0,-0.88,0.36
